Code,Code Description,interChange edit,Description,Last Updated 3/2023
5,M/I Service Provider Number ,201,BILLING PROVIDER ID NUMBER MISSING,
5,M/I Service Provider Number ,202,BILLING PROVIDER ID IN INVALID FORMAT,
5,M/I Service Provider Number ,1004,PROVIDER NOT ALLOWED TO BILL FROM SERVICE LOCATION,
5,M/I Service Provider Number ,1025,OUT OF STATE PROVIDER DOES NOT HAVE A VALID LICENSE ON FILE FOR CLAIM DATES OF SERVICE,
5,M/I Service Provider Number ,1927,NPI REQUIRED: BILLING PROVIDER (HEALTHCARE),
5,M/I Service Provider Number ,1945,MULTIPLE SERVICE LOCATIONS FOR BILLING PROVIDER,
7,M/I Cardholder ID ,203,RECIPIENT I.D. NUMBER MISSING,
9,M/I Date Of Birth ,255,CLIENT DOB DISAGREES WITH SUBMITTED DOB,
9,M/I Date Of Birth ,832,DATE OF BIRTH MISSING (304-C4),
9,M/I Date Of Birth ,833,DATE OF BIRTH INVALID (304-C4),
9,M/I Date Of Birth ,2807,CLIENT DATE OF BIRTH IS NOT ON FILE,
10,M/I Patient Gender Code ,834,MISSING/INVALID PATIENT GENDER (305-C5),
12,M/I Place of Service ,800,PATIENT LOCATION IS MISSING/INVALID,
15,M/I Date of Service ,215,DATE DISPENSED IS MISSING,
15,M/I Date of Service ,216,DATE DISPENSED IS INVALID,
15,M/I Date of Service ,397,"HEADER STMT COVERS PERIOD ""THROUGH"" DATE MISSING",
15,M/I Date of Service ,503,DATE DISPENSED AFTER BILLING DATE,
16,M/I Prescription/ Service Reference Number ,212,PRESCRIPTION NUMBER IS MISSING,
17,M/I Fill Number ,211,REFILL INDICATOR IS MISSING OR INVALID,
19,M/I Days Supply ,221,DAYS SUPPLY MISSING,
19,M/I Days Supply ,222,DAYS SUPPLY INVALID,
21,M/I Product/Service ID ,217,NDC IS MISSING,
21,M/I Product/Service ID ,218,NDC INVALID FORMAT,
25,M/I Prescriber ID ,205,PRESCRIBING PRACTITIONER'S LICENSE NO. MISSING,
25,M/I Prescriber ID ,206,PRESCRIBING PRACTITIONR LICENSE NO. FORMAT INVALID,
25,M/I Prescriber ID ,209,PRESCRIBER ID OF GROUP; RESUBMIT INDIVIDUAL S NPI,
28,M/I Date Prescription Written ,213,DATE PRESCRIBED IS MISSING,
28,M/I Date Prescription Written ,214,DATE PRESCRIBED IS INVALID,
28,M/I Date Prescription Written ,256,"DATE DISPENSED IS > 1YR, OR 6 MO, FROM DTE WRITTEN",
28,M/I Date Prescription Written ,500,DATE PRESCRIBED AFTER BILLING DATE,
28,M/I Date Prescription Written ,502,DATE DISPENSED EARLIER THAN DATE PRESCRIBED,
39,M/I Diagnosis Code ,2819,TB DIAGNOSIS CODE REQUIRED,
39,M/I Diagnosis Code ,349,DIAGNOSIS REQUIRED FOR SHORT AND LONG ACTING OPIOIDS.,
39,M/I Diagnosis Code ,4040,PRIMARY DIAGNOSIS CODE NOT ON FILE,
39,M/I Diagnosis Code ,4041,SECONDARY DIAGNOSIS CODE NOT ON FILE,
40,Pharmacy Not Contracted With Plan On Date Of Service ,1001,PROVIDER DOES NOT HAVE A CONTRACT FOR CLAIM TYPE,
41,Submit Bill To Other Processor Or Primary Payer ,2508,RECIPIENT COVERED BY PRIVATE INSURANCE (PHARMACY),
50,Non-Matched Pharmacy Number ,551,PROVIDER ID ON ADJUSTMENT DOES NOT MATCH MOTHER,
50,Non-Matched Pharmacy Number ,1000,BILLING PROVIDER ID. NUMBER NOT 0N FILE,
52,Non-Matched Cardholder ID ,2001,RECIPIENT ID NUMBER NOT ON FILE,
54,Non-Matched Product/Service ID Number ,4004,NDC NOT ON FILE,
55,Non-Matched Product Package Size ,801,QUANTITY BILLED DOES NOT EQUAL PACKAGE SIZE,
60,Product/Service Not Covered For Patient Age,4025,AGE RESTRICTION FOR COVERED NDC,
60,Product/Service Not Covered For Patient Age,4044,NO REIMBURSEMENT RULE FOR ASSOCIATED AGE,
